experiment,model_name,test_source,class_id,class_name,mAP50_95,source_file,model_display_name
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,3,short,0.6298626661300659,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,4,spur,0.7423031330108643,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DeepPCB,5,spurious_copper,0.9263002276420592,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,0,missing_hole,0.824138343334198,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,1,mouse_bite,0.3828772902488708,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,2,open_circuit,0.5121946930885315,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,3,short,0.4948812425136566,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,4,spur,0.3467661440372467,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,DsPCBSD,5,spurious_copper,0.5115580558776855,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,0,missing_hole,0.528465986251831,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,1,mouse_bite,0.3654263317584991,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,2,open_circuit,0.3888676464557647,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,3,short,0.3274604976177215,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,4,spur,0.3455233573913574,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
faster_rcnn_resnet50_fpn_final_clean_6cls_e42,faster_rcnn_resnet50_fpn,HRIPCB,5,spurious_copper,0.395650565624237,faster_rcnn_resnet50_fpn_final_clean_6cls_e42_sourcewise_per_class_map.csv,Faster R-CNN
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,0,missing_hole,0.7911872186458965,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,1,mouse_bite,0.5119012128346812,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,2,open_circuit,0.5628150594345741,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,3,short,0.52920869297635,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,4,spur,0.4352573218903915,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,Merged,5,spurious_copper,0.6282446688000519,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,0,missing_hole,0.8434289971339302,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,1,mouse_bite,0.7338245534591258,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,2,open_circuit,0.6833533975475663,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,3,short,0.6343132947478509,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,4,spur,0.7364674285714223,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DeepPCB,5,spurious_copper,0.8786210590981625,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,0,missing_hole,0.80975581359688,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,1,mouse_bite,0.3528670379864677,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,2,open_circuit,0.4635494024310322,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,3,short,0.4527446602721492,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,4,spur,0.3183755073685472,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,DsPCBSD,5,spurious_copper,0.435084700616106,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,0,missing_hole,0.4619732963254258,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,1,mouse_bite,0.3657926246070752,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,2,open_circuit,0.406254976359034,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,3,short,0.3708037681115152,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,4,spur,0.3656451641937005,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50,yolov11s_cbamlite_bifpnlite_p2,HRIPCB,5,spurious_copper,0.3221884774189339,yolov11s_cbamlite_bifpnlite_p2_final_clean_6cls_e50_sourcewise_per_class_map.csv,YOLOv11s-CBAMLite-BiFPNLite-P2
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,0,missing_hole,0.8027598184173055,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,1,mouse_bite,0.5381105277052863,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,2,open_circuit,0.6201747812312625,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768,pcbnet_rtdetr_l_hybridopt,Merged,3,short,0.5890930449011484,pcbnet_rtdetr_l_hybridopt_final_clean_6cls_e50_img768_sourcewise_per_class_map.csv,PCBNet-RTDETR-HybridOpt
